Albania,0
Argentina,1
Australia,2
Austria,3
Bangladesh,4
Belgium,5
Bhutan,6
Bolivia,7
Botswana,8
Brazil,9
Bulgaria,10
Cambodia,11
Canada,12
Chile,13
Colombia,14
Croatia,15
Denmark,16
DominicanRepublic,17
Ecuador,18
Estonia,19
Eswatini,20
Finland,21
France,22
Germany,23
Ghana,24
Greece,25
Guatemala,26
Hungary,27
Iceland,28
India,29
Indonesia,30
Ireland,31
Israel,32
Italy,33
Japan,34
Jordan,35
Kazakhstan,36
Kenya,37
Kyrgyzstan,38
Laos,39
Latvia,40
Lebanon,41
Lesotho,42
Lithuania,43
Luxembourg,44
Madagascar,45
Malaysia,46
Malta,47
Mexico,48
Mongolia,49
Montenegro,50
Netherlands,51
NewZealand,52
Nigeria,53
NorthMacedonia,54
Norway,55
Oman,56
Panama,57
Peru,58
Philippines,59
Poland,60
Portugal,61
Qatar,62
Romania,63
Russia,64
Rwanda,65
Senegal,66
Serbia,67
Singapore,68
Slovakia,69
Slovenia,70
SouthAfrica,71
SouthKorea,72
Spain,73
Sweden,74
Switzerland,75
Thailand,76
Tunisia,77
Turkey,78
USA,79
Uganda,80
Ukraine,81
UnitedArabEmirates,82
UnitedKingdom,83
Uruguay,84
