country,cluster
Belgium,0
Denmark,0
France,0
Germany,0
Ireland,0
Luxembourg,0
Netherlands,0
Switzerland,0
UnitedKingdom,0
Senegal,1
Lesotho,2
Bangladesh,3
India,3
Colombia,4
Ecuador,4
NorthMacedonia,5
Romania,5
Serbia,5
Turkey,5
Australia,6
NewZealand,6
Greece,7
Israel,7
Jordan,7
Lebanon,7
Malta,7
Tunisia,7
Kenya,8
Rwanda,8
Uganda,8
Argentina,9
Chile,9
Uruguay,9
Indonesia,10
Malaysia,10
Singapore,10
Kazakhstan,11
Japan,12
SouthKorea,12
USA,13
Estonia,14
Finland,14
Latvia,14
Lithuania,14
Norway,14
Poland,14
Russia,14
Sweden,14
Oman,15
Qatar,15
UnitedArabEmirates,15
Brazil,16
Peru,16
Bolivia,17
Bhutan,18
Canada,19
Albania,20
Italy,20
Montenegro,20
Portugal,20
Spain,20
Botswana,21
Eswatini,21
Madagascar,21
SouthAfrica,21
DominicanRepublic,22
Panama,22
Guatemala,23
Mexico,23
Iceland,24
Cambodia,25
Laos,25
Philippines,25
Thailand,25
Kyrgyzstan,26
Austria,27
Bulgaria,27
Croatia,27
Hungary,27
Slovakia,27
Slovenia,27
Ukraine,27
Ghana,28
Nigeria,28
Mongolia,29
