class,cluster
Israel,0
Jordan,0
Kazakhstan,0
Malta,0
Oman,0
Qatar,0
Tunisia,0
UnitedArabEmirates,0
Albania,1
Argentina,1
Australia,1
Austria,1
Bangladesh,1
Belgium,1
Bolivia,1
Brazil,1
Bulgaria,1
Cambodia,1
Canada,1
Chile,1
Colombia,1
Croatia,1
Denmark,1
DominicanRepublic,1
Ecuador,1
Estonia,1
Finland,1
France,1
Germany,1
Greece,1
Hungary,1
Indonesia,1
Ireland,1
Italy,1
Latvia,1
Lithuania,1
Luxembourg,1
Malaysia,1
Mexico,1
Montenegro,1
Netherlands,1
NewZealand,1
NorthMacedonia,1
Norway,1
Panama,1
Peru,1
Philippines,1
Poland,1
Portugal,1
Romania,1
Russia,1
Serbia,1
Singapore,1
Slovakia,1
Slovenia,1
SouthAfrica,1
SouthKorea,1
Spain,1
Sweden,1
Thailand,1
Turkey,1
USA,1
Ukraine,1
UnitedKingdom,1
Uruguay,1
Kyrgyzstan,2
Madagascar,2
Mongolia,2
Ghana,3
Guatemala,3
Laos,3
Uganda,3
Japan,4
Switzerland,4
Bhutan,5
India,5
Nigeria,6
Rwanda,6
Senegal,6
Botswana,7
Eswatini,7
Kenya,7
Lesotho,7
Lebanon,8
Iceland,9
